Main Head,Main Relation,Main Tail,Sub Head,Sub Relation,Sub Tail,Relation to Main,Paragraph ID
The criteria,are used in,the diagnosis of depressive disorders.,The criteria,are used in,the diagnosis of depressive disorders.,The criteria are used in the diagnosis of depressive disorders.,455
Sources of information,include,interviews with the child or adolescent for diagnosing depression.,Sources of information,include,interviews with the child or adolescent for diagnosing depression.,Sources of information include interviews with the child or adolescent for diagnosing depression.,456
Information from parents and teachers,is,also a source for diagnosing depression.,Information from parents and teachers,is,also a source for diagnosing depression.,Information from parents and teachers is also a source for diagnosing depression.,457
Brief questionnaires,are available for screening,depressive symptoms in children and adolescents.,Brief questionnaires,are available for screening,depressive symptoms in children and adolescents.,Brief questionnaires are available for screening depressive symptoms in children and adolescents.,458
These questionnaires,identify,some depressive symptoms but are not sufficient for a diagnosis on their own.,These questionnaires,identify,some depressive symptoms but are not sufficient for a diagnosis on their own.,These questionnaires identify some depressive symptoms but are not sufficient for a diagnosis on their own.,459
Specific close-ended questions,are used to ascertain,if patients meet the DSM-5-TR criteria for major depression.,Specific close-ended questions,are used to ascertain,if patients meet the DSM-5-TR criteria for major depression.,Specific close-ended questions are used to ascertain if patients meet the DSM-5-TR criteria for major depression.,460
History,should include,"causative factors such as domestic violence, sexual abuse and exploitation, and drug adverse effects.",History,should include,"causative factors such as domestic violence, sexual abuse and exploitation, and drug adverse effects.","History should include causative factors such as domestic violence, sexual abuse and exploitation, and drug adverse effects.",461
Questions,should be asked,"about suicidal behavior, including ideation, gestures, and attempts.",Questions,should be asked,"about suicidal behavior, including ideation, gestures, and attempts.","Questions should be asked about suicidal behavior, including ideation, gestures, and attempts.",462
A careful review of the history,is needed,to exclude other disorders.,A careful review of the history,is needed,to exclude other disorders.,A careful review of the history is needed to exclude other disorders.,463
Appropriate laboratory tests,are required to exclude,"disorders such as infectious mononucleosis, thyroid disorders, and substance use disorders.",Appropriate laboratory tests,are required to exclude,"disorders such as infectious mononucleosis, thyroid disorders, and substance use disorders.","Appropriate laboratory tests are required to exclude disorders such as infectious mononucleosis, thyroid disorders, and substance use disorders.",464
Psychiatric disorders such as anxiety and bipolar disorders,can increase the risk,of depressive symptoms.,Psychiatric disorders such as anxiety and bipolar disorders,can increase the risk,of depressive symptoms.,Psychiatric disorders such as anxiety and bipolar disorders can increase the risk of depressive symptoms.,465
Psychiatric disorders such as anxiety and bipolar disorders,can modify,the course of depressive symptoms.,Psychiatric disorders such as anxiety and bipolar disorders,can modify,the course of depressive symptoms.,Psychiatric disorders such as anxiety and bipolar disorders can modify the course of depressive symptoms.,466
Children who develop bipolar disorder,may initially present with,major depression.,Children who develop bipolar disorder,may initially present with,major depression.,Children who develop bipolar disorder may initially present with major depression.,467
Children who develop schizophrenia,may initially present with,major depression.,Children who develop schizophrenia,may initially present with,major depression.,Children who develop schizophrenia may initially present with major depression.,468
You,evaluate,the family and social setting after depression diagnosis.,You,evaluate,the family and social setting after depression diagnosis.,You evaluate the family and social setting after depression diagnosis.,469
Identify,stresses within,the family and social setting that may have precipitated depression.,Identify,stresses within,the family and social setting that may have precipitated depression.,Identify stresses within the family and social setting that may have precipitated depression.,470
Appropriate measures,must target,both the family and school to support the child's continued functioning.,Appropriate measures,must target,both the family and school to support the child's continued functioning.,Appropriate measures must target both the family and school to support the child's continued functioning.,471
These measures,should ensure the provision,of appropriate educational accommodations for the child.,These measures,should ensure the provision,of appropriate educational accommodations for the child.,These measures should ensure the provision of appropriate educational accommodations for the child.,472
Brief hospitalization,may be required,during acute crises.,Brief hospitalization,may be required,during acute crises.,Brief hospitalization may be required during acute crises.,473
Hospitalization,is particularly necessary,when the child exhibits suicidal behavior.,Hospitalization,is particularly necessary,when the child exhibits suicidal behavior.,Hospitalization is particularly necessary when the child exhibits suicidal behavior.,474
A combination of psychotherapy and antidepressants,typically outperforms,either treatment alone for adolescents.,A combination of psychotherapy and antidepressants,typically outperforms,either treatment alone for adolescents.,A combination of psychotherapy and antidepressants typically outperforms either treatment alone for adolescents.,475
The effectiveness of treatment combinations,is,less certain for preadolescents.,The effectiveness of treatment combinations,is,less certain for preadolescents.,The effectiveness of treatment combinations is less certain for preadolescents.,476
Clinicians,generally prefer,psychotherapy for younger children.,Clinicians,generally prefer,psychotherapy for younger children.,Clinicians generally prefer psychotherapy for younger children.,477
"Medications, such as fluoxetine",are an option for,"children 8 years and older, particularly with severe depression or when psychotherapy has failed.","Medications, such as fluoxetine",are an option for,"children 8 years and older, particularly with severe depression or when psychotherapy has failed.","Medications, such as fluoxetine are an option for children 8 years and older, particularly with severe depression or when psychotherapy has failed.",478
Selective serotonin reuptake inhibitors (SSRIs),are typically the first choice for,"long-term treatment of depression, anxiety, and related disorders.",Selective serotonin reuptake inhibitors (SSRIs),are typically the first choice for,"long-term treatment of depression, anxiety, and related disorders.","Selective serotonin reuptake inhibitors (SSRIs) are typically the first choice for long-term treatment of depression, anxiety, and related disorders.",479
Children prescribed antidepressants,require,close monitoring for behavioral side effects like disinhibition and behavioral activation.,Children prescribed antidepressants,require,close monitoring for behavioral side effects like disinhibition and behavioral activation.,Children prescribed antidepressants require close monitoring for behavioral side effects like disinhibition and behavioral activation.,480
Behavioral side effects from antidepressants in children,are,usually mild to moderate.,Behavioral side effects from antidepressants in children,are,usually mild to moderate.,Behavioral side effects from antidepressants in children are usually mild to moderate.,481
Decreasing the antidepressant dose or switching medications,can often eliminate or reduce,behavioral side effects.,Decreasing the antidepressant dose or switching medications,can often eliminate or reduce,behavioral side effects.,Decreasing the antidepressant dose or switching medications can often eliminate or reduce behavioral side effects.,482
Severe behavioral side effects,are,"rare, such as aggressiveness and increased suicidality.",Severe behavioral side effects,are,"rare, such as aggressiveness and increased suicidality.","Severe behavioral side effects are rare, such as aggressiveness and increased suicidality.",483
Any antidepressant,can cause,idiosyncratic behavioral adverse effects at any time during treatment.,Any antidepressant,can cause,idiosyncratic behavioral adverse effects at any time during treatment.,Any antidepressant can cause idiosyncratic behavioral adverse effects at any time during treatment.,484
Children and adolescents on antidepressants,must be closely monitored,due to the potential for behavioral adverse effects.,Children and adolescents on antidepressants,must be closely monitored,due to the potential for behavioral adverse effects.,Children and adolescents on antidepressants must be closely monitored due to the potential for behavioral adverse effects.,485
Transcranial magnetic stimulation,is not approved by,the Food and Drug Administration for use in youths.,Transcranial magnetic stimulation,is not approved by,the Food and Drug Administration for use in youths.,Transcranial magnetic stimulation is not approved by the Food and Drug Administration for use in youths.,486
Transcranial magnetic stimulation,has been used,when patients do not respond to or tolerate medications.,Transcranial magnetic stimulation,has been used,when patients do not respond to or tolerate medications.,Transcranial magnetic stimulation has been used when patients do not respond to or tolerate medications.,487
Preliminary studies,show,transcranial magnetic stimulation in adolescents has similar clinical effects and tolerability as in adults.,Preliminary studies,show,transcranial magnetic stimulation in adolescents has similar clinical effects and tolerability as in adults.,Preliminary studies show transcranial magnetic stimulation in adolescents has similar clinical effects and tolerability as in adults.,488
Larger ongoing studies,will provide,more data on noninvasive brain stimulation in adolescent depression.,Larger ongoing studies,will provide,more data on noninvasive brain stimulation in adolescent depression.,Larger ongoing studies will provide more data on noninvasive brain stimulation in adolescent depression.,489
Relapse and recurrence of symptoms,are common,"in children and adolescents, as in adults.",Relapse and recurrence of symptoms,are common,"in children and adolescents, as in adults.","Relapse and recurrence of symptoms are common in children and adolescents, as in adults.",490
Children and adolescents,should continue treatment,for a minimum of one year after symptom remission.,Children and adolescents,should continue treatment,for a minimum of one year after symptom remission.,Children and adolescents should continue treatment for a minimum of one year after symptom remission.,491
Experts,advise,that children with two or more episodes of major depression receive indefinite treatment.,Experts,advise,that children with two or more episodes of major depression receive indefinite treatment.,Experts advise that children with two or more episodes of major depression receive indefinite treatment.,492
Suicide risk and treatment with antidepressants,are subjects of,ongoing debate and research.,Suicide risk and treatment with antidepressants,are subjects of,ongoing debate and research.,Suicide risk and treatment with antidepressants are subjects of ongoing debate and research.,493
The US Food and Drug Administration (FDA),conducted,a meta-analysis of 23 trials involving 9 different antidepressants in 2004.,The US Food and Drug Administration (FDA),conducted,a meta-analysis of 23 trials involving 9 different antidepressants in 2004.,The US Food and Drug Administration (FDA) conducted a meta-analysis of 23 trials involving 9 different antidepressants in 2004.,494
The meta-analysis by the US FDA,found,no completed suicides in the trials.,The meta-analysis by the US FDA,found,no completed suicides in the trials.,The meta-analysis by the US FDA found no completed suicides in the trials.,495
A small but statistically significant increase in suicidal ideation,was observed,in children and adolescents on antidepressants (approximately 4% versus about 2%).,A small but statistically significant increase in suicidal ideation,was observed,in children and adolescents on antidepressants (approximately 4% versus about 2%).,A small but statistically significant increase in suicidal ideation was observed in children and adolescents on antidepressants (approximately 4% versus about 2%).,496
The US FDA,issued,a black box warning for all classes of antidepressants due to increased suicidal ideation in young patients.,The US FDA,issued,a black box warning for all classes of antidepressants due to increased suicidal ideation in young patients.,The US FDA issued a black box warning for all classes of antidepressants due to increased suicidal ideation in young patients.,497
Classes of antidepressants with a black box warning,include,"tricyclic antidepressants, selective serotonin reuptake inhibitors (SSRIs), serotonin-norepinephrine reuptake inhibitors (such as venlafaxine), and tetracyclic antidepressants (such as mirtazapine).",Classes of antidepressants with a black box warning,include,"tricyclic antidepressants, selective serotonin reuptake inhibitors (SSRIs), serotonin-norepinephrine reuptake inhibitors (such as venlafaxine), and tetracyclic antidepressants (such as mirtazapine).","Classes of antidepressants with a black box warning include tricyclic antidepressants, selective serotonin reuptake inhibitors (SSRIs), serotonin-norepinephrine reuptake inhibitors (such as venlafaxine), and tetracyclic antidepressants (such as mirtazapine).",498
A meta-analysis from the United Kingdom,examined,children and adolescents treated for depression in 2006.,A meta-analysis from the United Kingdom,examined,children and adolescents treated for depression in 2006.,A meta-analysis from the United Kingdom examined children and adolescents treated for depression in 2006.,499
The meta-analysis,found,a small increase in self-harm or suicide-related events in patients taking an antidepressant compared to those taking a placebo (4.8% vs 3.0%).,The meta-analysis,found,a small increase in self-harm or suicide-related events in patients taking an antidepressant compared to those taking a placebo (4.8% vs 3.0%).,The meta-analysis found a small increase in self-harm or suicide-related events in patients taking an antidepressant compared to those taking a placebo (4.8% vs 3.0%).,500
The statistical significance of the difference in self-harm or suicide-related events,varied,by analysis type (fixed-effects analysis or random-effects analysis).,The statistical significance of the difference in self-harm or suicide-related events,varied,by analysis type (fixed-effects analysis or random-effects analysis).,The statistical significance of the difference in self-harm or suicide-related events varied by analysis type (fixed-effects analysis or random-effects analysis).,501
There,was a nonsignificant trend toward an increase,"in suicidal ideation, self-harm, and suicide attempts among those taking antidepressants.",There,was a nonsignificant trend toward an increase,"in suicidal ideation, self-harm, and suicide attempts among those taking antidepressants.","There was a nonsignificant trend toward an increase in suicidal ideation, self-harm, and suicide attempts among those taking antidepressants.",502
The meta-analysis,indicated,differences in risk between different antidepressant medications.,The meta-analysis,indicated,differences in risk between different antidepressant medications.,The meta-analysis indicated differences in risk between different antidepressant medications.,503
No direct head-to-head studies,have been conducted,of different antidepressant medications.,No direct head-to-head studies,have been conducted,of different antidepressant medications.,No direct head-to-head studies have been conducted of different antidepressant medications.,504
It,is challenging to control for,severity of depression and other confounding risk factors in studies comparing antidepressant medications.,It,is challenging to control for,severity of depression and other confounding risk factors in studies comparing antidepressant medications.,It is challenging to control for severity of depression and other confounding risk factors in studies comparing antidepressant medications.,505
Observational and epidemiologic studies,have found,no increase in suicide attempts or completed suicide in patients taking antidepressants.,Observational and epidemiologic studies,have found,no increase in suicide attempts or completed suicide in patients taking antidepressants.,Observational and epidemiologic studies have found no increase in suicide attempts or completed suicide in patients taking antidepressants.,506
Prescriptions for antidepressants,decreased,following the black-box warning.,Prescriptions for antidepressants,decreased,following the black-box warning.,Prescriptions for antidepressants decreased following the black-box warning.,507
The adolescent suicide rate,increased,by 14% despite the decrease in antidepressant prescriptions.,The adolescent suicide rate,increased,by 14% despite the decrease in antidepressant prescriptions.,The adolescent suicide rate increased by 14% despite the decrease in antidepressant prescriptions.,508
Data,were used to estimate,risks and benefits of medications in relation to suicidal events.,Data,were used to estimate,risks and benefits of medications in relation to suicidal events.,Data were used to estimate risks and benefits of medications in relation to suicidal events.,509
SSRIs,were associated with,significantly decreased suicidal events.,SSRIs,were associated with,significantly decreased suicidal events.,SSRIs were associated with significantly decreased suicidal events.,510
Antidepressants,have,limited efficacy in children and adolescents.,Antidepressants,have,limited efficacy in children and adolescents.,Antidepressants have limited efficacy in children and adolescents.,511
The benefits of antidepressants,outweigh,the risks for children and adolescents.,The benefits of antidepressants,outweigh,the risks for children and adolescents.,The benefits of antidepressants outweigh the risks for children and adolescents.,512
Combining medication treatment with psychotherapy,is,the best approach for children and adolescents.,Combining medication treatment with psychotherapy,is,the best approach for children and adolescents.,Combining medication treatment with psychotherapy is the best approach for children and adolescents.,513
Minimizing risk in children and adolescents,involves,closely monitoring treatment.,Minimizing risk in children and adolescents,involves,closely monitoring treatment.,Minimizing risk in children and adolescents involves closely monitoring treatment.,514
Suicide,is a concern in,"children or adolescents with depression, regardless of medication use.",Suicide,is a concern in,"children or adolescents with depression, regardless of medication use.","Suicide is a concern in children or adolescents with depression, regardless of medication use.",515
Parents,should discuss,depression issues in depth with mental health care practitioners.,Parents,should discuss,depression issues in depth with mental health care practitioners.,Parents should discuss depression issues in depth with mental health care practitioners.,516
Children or adolescents with depression,require,appropriate supervision.,Children or adolescents with depression,require,appropriate supervision.,Children or adolescents with depression require appropriate supervision.,517
Treatment plans for depression in children or adolescents,should include,psychotherapy with regularly scheduled appointments.,Treatment plans for depression in children or adolescents,should include,psychotherapy with regularly scheduled appointments.,Treatment plans for depression in children or adolescents should include psychotherapy with regularly scheduled appointments.,518
Depressive disorders in children,may present as,sadness or irritability.,Depressive disorders in children,may present as,sadness or irritability.,Depressive disorders in children may present as sadness or irritability.,519
Major depressive disorder in children,is characterized by,persistent sadness or irritability and a loss of interest in activities.,Major depressive disorder in children,is characterized by,persistent sadness or irritability and a loss of interest in activities.,Major depressive disorder in children is characterized by persistent sadness or irritability and a loss of interest in activities.,520
Diagnosis of depressive disorders in children,requires,meeting specific clinical criteria over a 2-week period.,Diagnosis of depressive disorders in children,requires,meeting specific clinical criteria over a 2-week period.,Diagnosis of depressive disorders in children requires meeting specific clinical criteria over a 2-week period.,521
Laboratory tests,should be conducted,"to rule out other disorders such as infectious mononucleosis, thyroid disorders, or illicit drug use.",Laboratory tests,should be conducted,"to rule out other disorders such as infectious mononucleosis, thyroid disorders, or illicit drug use.","Laboratory tests should be conducted to rule out other disorders such as infectious mononucleosis, thyroid disorders, or illicit drug use.",522
Treatment of depressive disorders in children,should involve,their family and school for support and educational accommodations.,Treatment of depressive disorders in children,should involve,their family and school for support and educational accommodations.,Treatment of depressive disorders in children should involve their family and school for support and educational accommodations.,523
A combination of psychotherapy and antidepressants,is,more effective for adolescents than either treatment alone.,A combination of psychotherapy and antidepressants,is,more effective for adolescents than either treatment alone.,A combination of psychotherapy and antidepressants is more effective for adolescents than either treatment alone.,524
Clinicians,generally prefer,"psychotherapy in younger children, but medications may be used if necessary.",Clinicians,generally prefer,"psychotherapy in younger children, but medications may be used if necessary.","Clinicians generally prefer psychotherapy in younger children, but medications may be used if necessary.",525
The FDA,issued,a black box warning in 2004 about the risk of suicidal ideation and behavior with antidepressant use in young populations.,The FDA,issued,a black box warning in 2004 about the risk of suicidal ideation and behavior with antidepressant use in young populations.,The FDA issued a black box warning in 2004 about the risk of suicidal ideation and behavior with antidepressant use in young populations.,526
Subsequent analyses,have questioned the validity,of the FDA's 2004 conclusion regarding antidepressants and suicide risk.,Subsequent analyses,have questioned the validity,of the FDA's 2004 conclusion regarding antidepressants and suicide risk.,Subsequent analyses have questioned the validity of the FDA's 2004 conclusion regarding antidepressants and suicide risk.,527
The US Food and Drug Administration (FDA),has approved,iloperidone tablets.,The US Food and Drug Administration (FDA),has approved,iloperidone tablets.,The US Food and Drug Administration (FDA) has approved iloperidone tablets.,528
Iloperidone tablets,are marketed under,the brand name Fanapt.,Iloperidone tablets,are marketed under,the brand name Fanapt.,Iloperidone tablets are marketed under the brand name Fanapt.,529
Fanapt,is approved for,the acute treatment of manic episodes.,Fanapt,is approved for,the acute treatment of manic episodes.,Fanapt is approved for the acute treatment of manic episodes.,530
Fanapt,is also approved for,the acute treatment of mixed episodes.,Fanapt,is also approved for,the acute treatment of mixed episodes.,Fanapt is also approved for the acute treatment of mixed episodes.,531
The indication for Fanapt,is associated with,bipolar I disorder.,The indication for Fanapt,is associated with,bipolar I disorder.,The indication for Fanapt is associated with bipolar I disorder.,532
The patient population,for Fanapt's approved use is,adults.,The patient population,for Fanapt's approved use is,adults.,The patient population for Fanapt's approved use is adults.,533
Iloperidone,acts as,a mixed dopamine D2/serotonin 5-HT2A receptor antagonist.,Iloperidone,acts as,a mixed dopamine D2/serotonin 5-HT2A receptor antagonist.,Iloperidone acts as a mixed dopamine D2/serotonin 5-HT2A receptor antagonist.,534
Iloperidone,is classified as,an atypical antipsychotic.,Iloperidone,is classified as,an atypical antipsychotic.,Iloperidone is classified as an atypical antipsychotic.,535
The FDA,approved,Iloperidone in 2009.,The FDA,approved,Iloperidone in 2009.,The FDA approved Iloperidone in 2009.,536
Iloperidone,is indicated for,the acute treatment of schizophrenia in adults.,Iloperidone,is indicated for,the acute treatment of schizophrenia in adults.,Iloperidone is indicated for the acute treatment of schizophrenia in adults.,537
The latest approval for iloperidone,was based on,a phase 3 trial.,The latest approval for iloperidone,was based on,a phase 3 trial.,The latest approval for iloperidone was based on a phase 3 trial.,538
The trial,was,"randomized, double-blind, and placebo-controlled.",The trial,was,"randomized, double-blind, and placebo-controlled.","The trial was randomized, double-blind, and placebo-controlled.",539
Patients with bipolar mania,were treated with,iloperidone.,Patients with bipolar mania,were treated with,iloperidone.,Patients with bipolar mania were treated with iloperidone.,540
Iloperidone treatment,resulted in,significantly better outcomes compared to placebo.,Iloperidone treatment,resulted in,significantly better outcomes compared to placebo.,Iloperidone treatment resulted in significantly better outcomes compared to placebo.,541
Symptom improvement,was observed,as early as 14 days after the initial dose of iloperidone.,Symptom improvement,was observed,as early as 14 days after the initial dose of iloperidone.,Symptom improvement was observed as early as 14 days after the initial dose of iloperidone.,542
Manic or mixed episodes,are associated with,bipolar I disorder.,Manic or mixed episodes,are associated with,bipolar I disorder.,Manic or mixed episodes are associated with bipolar I disorder.,543
Bipolar I disorder,requires,a variety of trusted options to meet individual patient needs.,Bipolar I disorder,requires,a variety of trusted options to meet individual patient needs.,Bipolar I disorder requires a variety of trusted options to meet individual patient needs.,544
Fanapt,has,"over 100,000 patient years of experience.",Fanapt,has,"over 100,000 patient years of experience.","Fanapt has over 100,000 patient years of experience.",545
Fanapt,offers,flexible dosing with a well-known safety profile.,Fanapt,offers,flexible dosing with a well-known safety profile.,Fanapt offers flexible dosing with a well-known safety profile.,546
The FDA,has approved,Fanapt as a new treatment option for bipolar I disorder.,The FDA,has approved,Fanapt as a new treatment option for bipolar I disorder.,The FDA has approved Fanapt as a new treatment option for bipolar I disorder.,547
Mihael H. Polymeropoulos,is,"the president, CEO, and chair of the board of Vanda Pharmaceuticals.",Mihael H. Polymeropoulos,is,"the president, CEO, and chair of the board of Vanda Pharmaceuticals.","Mihael H. Polymeropoulos is the president, CEO, and chair of the board of Vanda Pharmaceuticals.",548
Mihael H. Polymeropoulos,announced,the FDA approval in a press release.,Mihael H. Polymeropoulos,announced,the FDA approval in a press release.,Mihael H. Polymeropoulos announced the FDA approval in a press release.,549
Medscape Medical News,reported on,a phase 3 trial of iloperidone for bipolar I disorder.,Medscape Medical News,reported on,a phase 3 trial of iloperidone for bipolar I disorder.,Medscape Medical News reported on a phase 3 trial of iloperidone for bipolar I disorder.,550
The trial,included,414 participants.,The trial,included,414 participants.,The trial included 414 participants.,551
The mean age,of participants was,43 years.,The mean age,of participants was,43 years.,The mean age of participants was 43 years.,552
56% of the participants,were,male.,56% of the participants,were,male.,56% of the participants were male.,553
The trial,spanned across,17 US and international sites.,The trial,spanned across,17 US and international sites.,The trial spanned across 17 US and international sites.,554
Patients with psychotic features,were administered,in the trial.,Patients with psychotic features,were administered,in the trial.,Patients with psychotic features were administered in the trial.,555
A fixed daily dose of 24 mg of iloperidone,was given,to 206 patients.,A fixed daily dose of 24 mg of iloperidone,was given,to 206 patients.,A fixed daily dose of 24 mg of iloperidone was given to 206 patients.,556
A placebo,was given,to 208 patients.,A placebo,was given,to 208 patients.,A placebo was given to 208 patients.,557
The duration of the treatment,was,28 days.,The duration of the treatment,was,28 days.,The duration of the treatment was 28 days.,558
Iloperidone,was associated with significant improvement of,mania symptoms at week 4.,Iloperidone,was associated with significant improvement of,mania symptoms at week 4.,Iloperidone was associated with significant improvement of mania symptoms at week 4.,559
There,was a mean reduction on,the Young Mania Rating Scale of -4.0 for iloperidone (P =.000008).,There,was a mean reduction on,the Young Mania Rating Scale of -4.0 for iloperidone (P =.000008).,There was a mean reduction on the Young Mania Rating Scale of -4.0 for iloperidone (P =.000008).,560
The treatment group,reported significant decreases on,"the Clinical Global Impressions-Severity scale (mean, -0.4; P =.0005).",The treatment group,reported significant decreases on,"the Clinical Global Impressions-Severity scale (mean, -0.4; P =.0005).","The treatment group reported significant decreases on the Clinical Global Impressions-Severity scale (mean, -0.4; P =.0005).",561
There,were significant decreases,"on the Clinical Global Impression of Change scale for the treatment group (mean, -0.5; P =.0002).",There,were significant decreases,"on the Clinical Global Impression of Change scale for the treatment group (mean, -0.5; P =.0002).","There were significant decreases on the Clinical Global Impression of Change scale for the treatment group (mean, -0.5; P =.0002).",562
Statistically significant differences,were observed between,iloperidone and placebo starting on day 14.,Statistically significant differences,were observed between,iloperidone and placebo starting on day 14.,Statistically significant differences were observed between iloperidone and placebo starting on day 14.,563
The observed differences,continued,between iloperidone and placebo through day 21.,The observed differences,continued,between iloperidone and placebo through day 21.,The observed differences continued between iloperidone and placebo through day 21.,564
The observed differences,persisted,between iloperidone and placebo until day 28.,The observed differences,persisted,between iloperidone and placebo until day 28.,The observed differences persisted between iloperidone and placebo until day 28.,565
The incidence of akathisia,was,in the treatment group low.,The incidence of akathisia,was,in the treatment group low.,The incidence of akathisia was in the treatment group low.,566
The incidence of extrapyramidal symptoms,was,low in the treatment group.,The incidence of extrapyramidal symptoms,was,low in the treatment group.,The incidence of extrapyramidal symptoms was low in the treatment group.,567
The medication,was well tolerated by,the treatment group.,The medication,was well tolerated by,the treatment group.,The medication was well tolerated by the treatment group.,568
Tachycardia,was a common adverse event,in the treatment group.,Tachycardia,was a common adverse event,in the treatment group.,Tachycardia was a common adverse event in the treatment group.,569
Dizziness,was a common adverse event,in the treatment group.,Dizziness,was a common adverse event,in the treatment group.,Dizziness was a common adverse event in the treatment group.,570
Dry mouth,was a common adverse event,in the treatment group.,Dry mouth,was a common adverse event,in the treatment group.,Dry mouth was a common adverse event in the treatment group.,571
Increased alanine aminotransferase level,was,a common adverse event in the treatment group.,Increased alanine aminotransferase level,was,a common adverse event in the treatment group.,Increased alanine aminotransferase level was a common adverse event in the treatment group.,572
Nasal congestion,was a common adverse event,in the treatment group.,Nasal congestion,was a common adverse event,in the treatment group.,Nasal congestion was a common adverse event in the treatment group.,573
Weight gain,was a common adverse event,in the treatment group.,Weight gain,was a common adverse event,in the treatment group.,Weight gain was a common adverse event in the treatment group.,574
Somnolence,was a common adverse event,in the treatment group.,Somnolence,was a common adverse event,in the treatment group.,Somnolence was a common adverse event in the treatment group.,575
"Iloperidone and its primary metabolite, P88",have high binding affinity for,serotonin 5-HT2A receptors.,"Iloperidone and its primary metabolite, P88",have high binding affinity for,serotonin 5-HT2A receptors.,"Iloperidone and its primary metabolite, P88 have high binding affinity for serotonin 5-HT2A receptors.",576
Iloperidone and P88,also show,high binding affinity for dopamine D2 receptors.,Iloperidone and P88,also show,high binding affinity for dopamine D2 receptors.,Iloperidone and P88 also show high binding affinity for dopamine D2 receptors.,577
Iloperidone and P88,demonstrate,high binding affinity for dopamine D3 receptors.,Iloperidone and P88,demonstrate,high binding affinity for dopamine D3 receptors.,Iloperidone and P88 demonstrate high binding affinity for dopamine D3 receptors.,578
"Inhibition of serotonin 5-HT2A, dopamine D2, and D3 receptors",is associated with,the antimanic effects of iloperidone.,"Inhibition of serotonin 5-HT2A, dopamine D2, and D3 receptors",is associated with,the antimanic effects of iloperidone.,"Inhibition of serotonin 5-HT2A, dopamine D2, and D3 receptors is associated with the antimanic effects of iloperidone.",579
The antimanic effects of iloperidone,are relevant for,both psychotic and nonpsychotic bipolar mania.,The antimanic effects of iloperidone,are relevant for,both psychotic and nonpsychotic bipolar mania.,The antimanic effects of iloperidone are relevant for both psychotic and nonpsychotic bipolar mania.,580
Other atypical antipsychotics,share the mechanism of,inhibiting these receptors to achieve antimanic effects.,Other atypical antipsychotics,share the mechanism of,inhibiting these receptors to achieve antimanic effects.,Other atypical antipsychotics share the mechanism of inhibiting these receptors to achieve antimanic effects.,581
The drug,includes,a boxed warning for increased risk of death in older adults with dementia-related psychosis treated with antipsychotic drugs.,The drug,includes,a boxed warning for increased risk of death in older adults with dementia-related psychosis treated with antipsychotic drugs.,The drug includes a boxed warning for increased risk of death in older adults with dementia-related psychosis treated with antipsychotic drugs.,582
Iloperidone,is not approved for treating,patients with dementia-related psychosis.,Iloperidone,is not approved for treating,patients with dementia-related psychosis.,Iloperidone is not approved for treating patients with dementia-related psychosis.,583
Vanda Pharmaceuticals' press release,omitted,specific dosage details.,Vanda Pharmaceuticals' press release,omitted,specific dosage details.,Vanda Pharmaceuticals' press release omitted specific dosage details.,584
The press release,directed,readers to the Fanapt website for safety information.,The press release,directed,readers to the Fanapt website for safety information.,The press release directed readers to the Fanapt website for safety information.,585
The Fanapt website,indicates,iloperidone must be started at a low dose.,The Fanapt website,indicates,iloperidone must be started at a low dose.,The Fanapt website indicates iloperidone must be started at a low dose.,586
Iloperidone dosage,should be gradually increased,.,Iloperidone dosage,should be gradually increased,.,Iloperidone dosage should be gradually increased .,587
Initial symptom control,may be delayed,during the first 1-2 weeks of treatment.,Initial symptom control,may be delayed,during the first 1-2 weeks of treatment.,Initial symptom control may be delayed during the first 1-2 weeks of treatment.,588
Dosage titration,is necessary,to prevent orthostatic hypotension.,Dosage titration,is necessary,to prevent orthostatic hypotension.,Dosage titration is necessary to prevent orthostatic hypotension.,589
Contraindications for the drug,encompass,known hypersensitivity to the drug itself.,Contraindications for the drug,encompass,known hypersensitivity to the drug itself.,Contraindications for the drug encompass known hypersensitivity to the drug itself.,590
Contraindications,extend to,known hypersensitivity to any components in the drug's formulation.,Contraindications,extend to,known hypersensitivity to any components in the drug's formulation.,Contraindications extend to known hypersensitivity to any components in the drug's formulation.,591
Reports,indicate occurrences,of anaphylaxis related to the drug.,Reports,indicate occurrences,of anaphylaxis related to the drug.,Reports indicate occurrences of anaphylaxis related to the drug.,592
Reports,indicate occurrences,of angioedema related to the drug.,Reports,indicate occurrences,of angioedema related to the drug.,Reports indicate occurrences of angioedema related to the drug.,593
Other hypersensitivity reactions,have been reported,to the drug.,Other hypersensitivity reactions,have been reported,to the drug.,Other hypersensitivity reactions have been reported to the drug.,594
Kelli Whitlock Burton,holds the position of,assistant managing editor at Medscape.,Kelli Whitlock Burton,holds the position of,assistant managing editor at Medscape.,Kelli Whitlock Burton holds the position of assistant managing editor at Medscape.,595
Kelli Whitlock Burton,editorial focus is on,the fields of neurology and psychiatry.,Kelli Whitlock Burton,editorial focus is on,the fields of neurology and psychiatry.,Kelli Whitlock Burton editorial focus is on the fields of neurology and psychiatry.,596
The clinical scenario,originates from,the author's personal medical practice.,The clinical scenario,originates from,the author's personal medical practice.,The clinical scenario originates from the author's personal medical practice.,597
The author,intends to share,their planned course of action.,The author,intends to share,their planned course of action.,The author intends to share their planned course of action.,598
